kanji,kana,hirakana
野,の,の
ノー,ノー,のー
能,のう,のう
農家,のうか,のうか
農業,のうぎょう,のうぎょう
農民,のうみん,のうみん
能力,のうりょく,のうりょく
残す,のこす,のこす
残り,のこり,のこり
乗せる,のせる,のせる
除く,のぞく,のぞく
望み,のぞみ,のぞみ
望む,のぞむ,のぞむ
後,のち,のち
ノック,ノック,のっく
喉,のど,のど
伸ばす,のばす,のばす
伸びる,のびる,のびる
述べる,のべる,のべる
上る,のぼる,のぼる
のんびり,のんびり,のんびり
場,ば,ば
パーセント,パーセント,ぱーせんと
はあ,はあ,はあ
灰,はい,はい
バイオリン,バイオリン,ばいおりん
ハイキング,ハイキング,はいきんぐ
配達,はいたつ,はいたつ
パイプ,パイプ,ぱいぷ
俳優,はいゆう,はいゆう
パイロット,パイロット,ぱいろっと
墓,はか,はか
馬鹿,ばか,ばか
博士,はかせ,はかせ
吐く,はく,はく
履く,はく,はく
拍手,はくしゅ,はくしゅ
麦酒,ばくしゅ,ばくしゅ
莫大,ばくだい,ばくだい
爆発,ばくはつ,ばくはつ
博物館,はくぶつかん,はくぶつかん
激しい,はげしい,はげしい
鋏,はさみ,はさみ
破産,はさん,はさん
端,はし,はし
始まり,はじまり,はじまり
パス,パス,ぱす
外す,はずす,はずす
パスポート,パスポート,ぱすぽーと
旗,はた,はた
肌,はだ,はだ
裸,はだか,はだか
畑,はたけ,はたけ
二十歳,はたち,はたち
働き,はたらき,はたらき
バッグ,バッグ,ばっぐ
発見,はっけん,はっけん
発行,はっこう,はっこう
発車,はっしゃ,はっしゃ
罰する,ばっする,ばっする
発達,はったつ,はったつ
ばったり,ばったり,ばったり
発展,はってん,はってん
発表,はっぴょう,はっぴょう
発明,はつめい,はつめい
話し合う,はなしあう,はなしあう
放す,はなす,はなす
離す,はなす,はなす
離れる,はなれる,はなれる
羽,はね,はね
幅,はば,はば
母親,ははおや,ははおや
省く,はぶく,はぶく
場面,ばめん,ばめん
流行,はやり,はやり
原,はら,はら
腹,はら,はら
針,はり,はり
張る,はる,はる
バン,バン,ばん
番,ばん,ばん
範囲,はんい,はんい
反抗,はんこう,はんこう
犯罪,はんざい,はんざい
ハンサム,ハンサム,はんさむ
判断,はんだん,はんだん
犯人,はんにん,はんにん
販売,はんばい,はんばい
灯,ひ,ひ
ビール,ビール,びーる
被害,ひがい,ひがい
比較,ひかく,ひかく
轢く,ひく,ひく
